Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
AVHI,12,3/18/2016,4:00pm,0.17,11.93,12.26,11.93,46903,11.83
SHLM,25.53,3/18/2016,4:00pm,0.37,25.33,25.75,25.13,364095,25.16
AHC,5.33,3/18/2016,4:02pm,-0.09,5.29,5.5,5.09,113966,5.42
ATEN,6.13,3/18/2016,4:02pm,0,6.18,6.24,6.12,413043,6.13
AAC,19.88,3/18/2016,4:05pm,1.98,18.03,21.69,17.76,2035885,17.9
AAON,27.16,3/18/2016,4:00pm,0.53,26.82,27.49,26.67,381137,26.63
AIR,22.63,3/18/2016,4:01pm,0.56,22.2,22.68,21.93,350595,22.07
AAN,24.32,3/18/2016,4:03pm,0.48,23.83,24.64,23.65,1427998,23.84
ABAX,42,3/18/2016,4:00pm,0.12,42.01,42.06,41.66,275895,41.88
ABB,19.45,3/18/2016,4:02pm,0.03,19.48,19.53,19.38,2104101,19.42
ABT,40.79,3/18/2016,4:01pm,0.5,40.27,40.94,40.14,10143912,40.29
ABBV,56.57,3/18/2016,4:01pm,1.25,55.59,56.6,54.8,11029792,55.32
ABY,17.59,3/18/2016,4:00pm,-0.62,18.36,18.88,17.53,573985,18.21
ABGB,1.33,3/18/2016,3:59pm,-0.18,1.48,1.48,1.33,38139,1.51
ABEO,2.9,3/18/2016,4:00pm,0.1,2.82,2.92,2.77,54827,2.8
ABEOW,0.9,3/18/2016,12:25pm,0,N/A,0.9,0.9,100,0.9
ANF,31.7,3/18/2016,4:02pm,-0.15,32.07,32.38,31.57,2556680,31.85
FAX,4.98,3/18/2016,4:03pm,0.07,4.89,4.98,4.88,1173424,4.91
IAF,5.51,3/18/2016,4:03pm,-0.04,5.55,5.55,5.49,24316,5.55
CH,5.98,3/18/2016,4:03pm,-0.04,6.08,6.14,5.89,26919,6.02
ABE,11.5,3/18/2016,4:00pm,0.05,11.45,11.5,11.45,2509,11.45
FCO,8.4,3/18/2016,4:04pm,0.18,8.24,8.48,8.18,34415,8.22
